Région linguistique,Canton,Nationalité,Taux de chômage,Coefficients de variation,Taux de chômage des jeunes,Coefficients de variation des jeunes,Chômeurs inscrits,Chômeurs jeunes,Chômeurs de longue durée,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Suisse alémanique,Zurich,Etrangers,5.3,A,5.8,C,12'111,1'015,2'106,15'384,3'273
Suisse alémanique,Zurich,Suisses,2.5,A,3.2,B,15'114,2'405,2'647,18'772,3'658
Suisse alémanique,Berne,Etrangers,5.5,A,7.7,C,4'900,597,848,6'859,1'959
Suisse alémanique,Berne,Suisses,1.8,A,2.2,B,8'758,1'406,1'488,11'526,2'768
Suisse alémanique,Lucerne,Etrangers,3.9,B,4.7,C,1'593,217,181,2'902,1'309
Suisse alémanique,Lucerne,Suisses,1.3,A,1.7,B,2'292,447,272,3'854,1'562
Suisse alémanique,Uri,Etrangers,2.1,D,...,F,53,6,7,130,77
Suisse alémanique,Uri,Suisses,0.4,C,0.3,D,59,9,6,127,68
Suisse alémanique,Schwyz,Etrangers,3.4,C,3.5,D,617,67,76,1'027,410
Suisse alémanique,Schwyz,Suisses,1.2,B,1.2,C,838,118,113,1'202,364
Suisse alémanique,Obwald,Etrangers,2.2,D,...,E,68,4,4,144,76
Suisse alémanique,Obwald,Suisses,0.5,C,0.6,D,85,17,6,175,90
Suisse alémanique,Nidwald,Etrangers,2.9,D,...,F,94,13,8,172,78
Suisse alémanique,Nidwald,Suisses,0.7,B,0.6,D,154,18,16,264,110
Suisse alémanique,Glaris,Etrangers,3.4,C,...,E,184,21,28,363,179
Suisse alémanique,Glaris,Suisses,1.4,C,1.5,D,232,39,50,350,118
Suisse alémanique,Zoug,Etrangers,3.9,C,3.2,D,717,41,115,1'217,500
Suisse alémanique,Zoug,Suisses,1.7,B,1.5,C,826,92,133,1'398,572
Suisse alémanique,Soleure,Etrangers,5,B,5.2,C,1'569,218,216,2'927,1'358
Suisse alémanique,Soleure,Suisses,1.9,A,2.3,C,2'232,366,352,3'701,1'469
Suisse alémanique,Bâle-Ville,Etrangers,4.6,B,5.3,D,1'780,145,308,2'719,939
Suisse alémanique,Bâle-Ville,Suisses,2.8,B,4.1,C,1'675,263,298,2'449,774
Suisse alémanique,Bâle-Campagne,Etrangers,4.8,B,5.1,D,1'596,165,233,2'288,692
Suisse alémanique,Bâle-Campagne,Suisses,2.2,A,2.7,C,2'486,359,418,3'252,766
Suisse alémanique,Schaffhouse,Etrangers,5.1,C,6.5,D,595,82,131,1'122,527
Suisse alémanique,Schaffhouse,Suisses,2.2,B,3.1,C,691,144,137,1'206,515
Suisse alémanique,Appenzell Rhodes-Extérieures,Etrangers,3.4,C,...,E,179,21,31,306,127
Suisse alémanique,Appenzell Rhodes-Extérieures,Suisses,1.4,B,1.1,C,344,44,64,560,216
Suisse alémanique,Appenzell Rhodes-Intérieures,Etrangers,2,D,...,G,23,6,5,33,10
Suisse alémanique,Appenzell Rhodes-Intérieures,Suisses,0.5,C,0.7,D,39,10,4,69,30
Suisse alémanique,St-Gall,Etrangers,4.3,B,4.8,C,2'902,408,405,5'079,2'177
Suisse alémanique,St-Gall,Suisses,1.5,A,1.8,B,3'225,638,461,5'284,2'059
Suisse alémanique,Grisons,Etrangers,2.3,B,3.1,D,527,53,18,1'257,730
Suisse alémanique,Grisons,Suisses,0.7,A,1.2,C,639,141,46,1'333,694
Suisse alémanique,Argovie,Etrangers,5.6,A,5.8,C,4'972,597,821,7'280,2'308
Suisse alémanique,Argovie,Suisses,2.1,A,2.6,B,5'712,958,877,7'865,2'153
Suisse alémanique,Thurgovie,Etrangers,3.9,B,4.3,C,1'475,188,202,2'795,1'320
Suisse alémanique,Thurgovie,Suisses,1.4,A,1.8,C,1'583,329,214,2'823,1'240
Suisse romande et Tessin,Fribourg,Etrangers,5,B,6,C,1'888,269,196,3'569,1'681
Suisse romande et Tessin,Fribourg,Suisses,2,A,2.4,C,2'578,414,290,4'268,1'690
Suisse romande et Tessin,Tessin,Etrangers,4.6,B,6.6,C,2'303,231,337,4'034,1'731
Suisse romande et Tessin,Tessin,Suisses,2.5,A,4.7,C,2'899,572,460,4'641,1'742
Suisse romande et Tessin,Vaud,Etrangers,5.9,A,5.1,C,8'264,625,1'399,12'166,3'902
Suisse romande et Tessin,Vaud,Suisses,3.5,A,4,B,8'891,1'279,1'616,12'483,3'592
Suisse romande et Tessin,Valais,Etrangers,4.9,B,5.9,C,2'126,287,211,3'772,1'646
Suisse romande et Tessin,Valais,Suisses,2.1,A,2.6,C,2'690,459,377,4'255,1'565
Suisse romande et Tessin,Neuchâtel,Etrangers,7.4,B,7.7,D,1'970,216,497,2'670,700
Suisse romande et Tessin,Neuchâtel,Suisses,4.2,B,5.7,C,2'768,510,713,3'680,912
Suisse romande et Tessin,Genève,Etrangers,5.7,A,4.7,C,5'942,297,1'091,7'601,1'659
Suisse romande et Tessin,Genève,Suisses,4.8,A,4.6,C,6'292,617,1'235,7'896,1'604
Suisse romande et Tessin,Jura,Etrangers,9,C,...,E,505,46,164,729,224
Suisse romande et Tessin,Jura,Suisses,3.6,B,4.7,C,1'114,220,282,1'646,532
Total,,,3,A,3.2,A,133'169,17'709,22'213,193'624,60'455
